title,mean_rating
The Shawshank Redemption,4.429022082018927
The Godfather,4.2890625
Fight Club,4.272935779816514
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,4.268041237113402
The Godfather: Part II,4.25968992248062
The Departed,4.252336448598131
GoodFellas,4.25
Casablanca,4.24
The Dark Knight,4.238255033557047
The Usual Suspects,4.237745098039215
The Princess Bride,4.232394366197183
Star Wars,4.231075697211155
Schindler's List,4.225
Apocalypse Now,4.219626168224299
American History X,4.217054263565892
The Empire Strikes Back,4.2156398104265405
Raiders of the Lost Ark,4.2075
One Flew Over the Cuckoo's Nest,4.203007518796992
Reservoir Dogs,4.202290076335878
Pulp Fiction,4.197068403908795
The Matrix,4.192446043165468
Amadeus,4.184210526315789
Amélie,4.183333333333334
Brazil,4.177966101694915
Forrest Gump,4.164133738601824
Monty Python and the Holy Grail,4.161764705882353
The Silence of the Lambs,4.161290322580645
Eternal Sunshine of the Spotless Mind,4.1603053435114505
Snatch,4.155913978494624
Spirited Away,4.155172413793103
12 Angry Men,4.149122807017544
The Green Mile,4.148648648648648
City of God,4.1466666666666665
Saving Private Ryan,4.1462765957446805
"The Good, the Bad and the Ugly",4.145833333333333
Return of the Jedi,4.137755102040816
Inglourious Basterds,4.136363636363637
Memento,4.122641509433962
To Kill a Mockingbird,4.120689655172414
The Lord of the Rings: The Return of the King,4.118918918918919
Toy Story 3,4.109090909090909
The Lord of the Rings: The Fellowship of the Ring,4.106060606060606
Taxi Driver,4.105769230769231
Blade Runner,4.100806451612903
Office Space,4.090425531914893
The Shining,4.08256880733945
Good Will Hunting,4.078014184397163
Inception,4.066433566433567
L.A. Confidential,4.061855670103093
WALL·E,4.0576923076923075
